name,local_name,author,category,tags,version,release_date,size_bytes,latest,integrity,duplicate,non_store,path,store
4 Optimization Tools in 1: Mesh Combiner Baker + Mesh Optimizer + Object Pooling,4 Optimization Tools in 1 Mesh Combiner Baker Mesh Optimizer Object Pooling,Queen,Tools/Utilities,editor-tool,1.5,2024-11-14,13727270,True,,,False,Tools/4 Optimization Tools in 1 Mesh Combiner Baker Mesh Optimizer Object Pooling v1.5 (14 Nov 2024).unitypackage,https://assetstore.unity.com/packages/tools/utilities/4-optimization-tools-in-1-mesh-combiner-baker-mesh-optimizer-obj-236754
"400+ Stylized Forest Textures - Grass, Mud, Dirt, Forest Ground & More",400 Stylized Forest Textures - Grass Mud Dirt Forest Ground More,Game Buffs,2D/Textures & Materials/Nature,environment;stylized,1.1.0,,2602122448,True,,,False,3D/400 Stylized Forest Textures - Grass Mud Dirt Forest Ground More v1.1.0.unitypackage,https://assetstore.unity.com/packages/2d/textures-materials/nature/400-stylized-forest-textures-grass-mud-dirt-forest-ground-more-241323
"500+ Stylized Floor & Ground Textures - Concrete, Ceramic, Stone & More",500 Stylized Floor Ground Textures - Concrete Ceramic Stone More,Game Buffs,2D/Textures & Materials/Floors,stylized,1.1.0,,3737593335,True,,,False,3D/500 Stylized Floor Ground Textures - Concrete Ceramic Stone More v1.1.0.unitypackage,https://assetstore.unity.com/packages/2d/textures-materials/floors/500-stylized-floor-ground-textures-concrete-ceramic-stone-more-241328
"500+ Stylized Wall & Surface Textures - Brick, Wood, Marble & More",500 Stylized Wall Surface Textures - Brick Wood Marble More,Game Buffs,2D/Textures & Materials,stylized,1.1.0,,3786710776,True,,,False,3D/500 Stylized Wall Surface Textures - Brick Wood Marble More v1.1.0.unitypackage,https://assetstore.unity.com/packages/2d/textures-materials/500-stylized-wall-surface-textures-brick-wood-marble-more-241329
66 Creatures Super Mega (Pack),66 Creatures Super Mega (Pack),Maksim Bugrimov,3D/Characters/Creatures,character,1.0,2024-11-10,4162660084,True,,same-size-same-folder,False,3D/66 Creatures Super Mega (Pack) v1.0 (10 Nov 2024).unitypackage,https://assetstore.unity.com/packages/3d/characters/creatures/66-creatures-super-mega-pack-302151
66 Creatures Super Mega (Pack),66 Creatures Super Mega (Pack),Maksim Bugrimov,3D/Characters/Creatures,character,,,4162660084,False,,same-size-same-folder,False,3D/66 Creatures Super Mega Pack.unitypackage,https://assetstore.unity.com/packages/3d/characters/creatures/66-creatures-super-mega-pack-302151
70+ Stylized Textures Bundle - RPG Environment,70 Stylized Textures Bundle - RPG Environment,Blink,2D/Textures & Materials,environment;medieval;stylized,1.0,,4053780786,True,,,False,2D/70 Stylized Textures Bundle - RPG Environment v1.0.unitypackage,https://assetstore.unity.com/packages/2d/textures-materials/70-stylized-textures-bundle-rpg-environment-202065
8-Bit Retro Game SFX Pack,8-Bit Retro Game SFX Pack,David Dumais Audio,Audio/Sound FX,sfx,1.0,,462111948,True,,,False,Audio/8-Bit Retro Game SFX Pack v1.0.unitypackage,https://assetstore.unity.com/packages/audio/sound-fx/8-bit-retro-game-sfx-pack-148495
8 KI levels,8 KI levels,Hovl Studio,VFX/Particles/Spells,vfx,2.0.0,,24984714,True,,,False,VFX/Particles/8 KI levels v2.0.0.unitypackage,https://assetstore.unity.com/packages/vfx/particles/spells/8-ki-levels-178409
90 Animated emojis 2D Bubbles,90 Animated emojis 2D Bubbles,,2D,,1.13,,97037077,True,,,False,2D/90 Animated emojis 2D Bubbles 1.13.unitypackage,
